Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Task 1: Create AWS Architecture Schematics - Part 1,US East (N. Virginia),Primary Database Instance,Amazon RDS for MySQL,0,1372.349,16468.19,USD,"Quantity (1), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (db.m6g.4xlarge)"
Task 1: Create AWS Architecture Schematics - Part 1,US East (N. Virginia),,S3 Standard,0,1177.6,14131.20,USD,S3 Standard storage (50 TB per month)
Task 1: Create AWS Architecture Schematics - Part 1,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Amazon CloudFront (50 TB per month)"
Task 1: Create AWS Architecture Schematics - Part 1,US East (N. Virginia),Read-Replica Database Instance,Amazon RDS for MySQL,0,1372.349,16468.19,USD,"Quantity (1), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (db.m6g.4xlarge)"
Task 1: Create AWS Architecture Schematics - Part 1,US East (N. Virginia),,Application Load Balancer,0,442.45000000000005,5309.40,USD,Number of Application Load Balancers (2)
Task 1: Create AWS Architecture Schematics - Part 1,US East (N. Virginia),NAT gateway to provide software updates for private subnet,Amazon Virtual Private Cloud (VPC),0,74.7,896.40,USD,Number of NAT Gateways (2)
Task 1: Create AWS Architecture Schematics - Part 1,US East (N. Virginia),"4 Web Servers, 4 Application Servers",Amazon EC2,0,5127.28,61527.36,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Instance type (c5ad.8xlarge)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
